157025 ,Улисс  Паб ,нет ,бар , "город  Москва ,  Кривоарбатский  переулок ,  дом  16/22 " ,100
143541 ,Антикафе  «SHELTER» ,нет ,бар , "город  Москва ,  Селезнёвская  улица ,  дом  4 " ,25
81197 ,Кафе  «13  бар» ,нет ,кафе , "город  Москва ,  Елецкая  улица ,  дом  13 " ,24
20396 ,Кафе  «BENDER» ,нет ,бар , "город  Москва ,  Чертановская  улица ,  дом  1В ,  корпус  1 " ,32
151618 ,ПивоРыба ,нет ,бар , "город  Москва ,  Новокосинская  улица ,  дом  11 ,  корпус  2 " ,30
20634 ,БАРЫ  В  ФИТНЕС  КЛУБЕ  «ДОКТОР  ЛОДЕР» ,нет ,бар , "город  Москва ,  улица  Остоженка ,  дом  25 " ,8
22446 ,Бобби  Даззлер ,нет ,бар , "город  Москва ,  Луков  переулок ,  дом  10 " ,50
151866 ,Ресторан  «Практика  By  Darvin» ,нет ,бар , "город  Москва ,  Большая  Грузинская  улица ,  дом  37 ,  строение  2 " ,45
154340 ,Пивоварня  Шварцкайзер ,нет ,бар , "город  Москва ,  Перовская  улица ,  дом  16 " ,30
110571 ,Форест  бар ,нет ,ресторан , "город  Москва ,  улица  Металлургов ,  дом  62 ,  корпус  1 " ,49
151304 ,Блонд-Брюн ,нет ,бар , "город  Москва ,  1-я  улица  Машиностроения ,  дом  10 " ,35
20408 ,ФИТНЕС-БАР  «WELLNES  PARK» ,нет ,бар , "город  Москва ,  улица  Воронцовские  Пруды ,  дом  3 " ,13
128004 ,КилФиш  Бар ,нет ,бар , "город  Москва ,  Профсоюзная  улица ,  дом  104 " ,80
146145 ,БАР  «ГРИН  ХЭТ» ,нет ,бар , "город  Москва ,  Мичуринский  проспект ,  дом  16 " ,48
74093 ,РЕСТОРАН  «Гастробар» ,нет ,ресторан , "город  Москва ,  Мичуринский  проспект ,  дом  16 " ,60
148580 ,Dead  Rabbit  Pub ,нет ,бар , "город  Москва ,  проспект  Маршала  Жукова ,  дом  59 " ,30
